nroTicket;nroComprobante;fechaEjecucion;fechaLiquidacion;tipoOperacion;instrumento;moneda;mercado;cantidad;precio;montoBruto;comision;ddmm;iva;otros;total
79546741;18115;02-01-2026;02-01-2026;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;27.524,6515;10.052,843;-276.701;0;0;0;0;-276.701
79273550;61708;02-01-2026;05-01-2026;Venta;CEDEAR NIKE INC. (NKE);ARS;BYMA;-133;8.100;1.077.300;-4.847,85;-538,65;-1.131,165;0;1.070.782,34
79896978;82821;05-01-2026;05-01-2026;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;44.054,0454;10.077,667;-443.962;0;0;0;0;-443.962
79228451;20249;02-01-2026;05-01-2026;Compra;MORIXE HNOS. S.A.  ORD. 1 VOTO (MORI);ARS;BYMA;2.395;41,5;-99.392,5;-447,2663;-49,6963;-104,3621;0;-99.993,82
79218099;10504;02-01-2026;05-01-2026;Compra;MOLINOS J.SEMINO ESCRIT.1 V. (SEMI);ARS;BYMA;2.146;23,15;-49.679,9;-223,5596;-24,84;-52,1639;0;-49.980,46
79209369;1866;02-01-2026;05-01-2026;Compra;EDENOR S.A.  B  1 VOTO (EDN);ARS;BYMA;43;2.310;-99.330;-446,985;-49,665;-104,2965;0;-99.930,95
79240480;31757;02-01-2026;05-01-2026;Venta;CRESUD S.A.  ORD. 1 VOTO ESCRITURAL (CRES);ARS;BYMA;-328;1.930;633.040;-2.848,68;-316,52;-664,692;0;629.210,11
79265848;54525;02-01-2026;05-01-2026;Compra;CEDEAR C3.AI INC (AI) (AI);ARS;BYMA;23;4.180;-96.140;-432,63;-48,07;-100,947;0;-96.721,65
80808932;209019;08-01-2026;08-01-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-38.917,1992;10.102,911;393.177;0;0;0;0;393.177
80642337;282260;08-01-2026;08-01-2026;Compra bono Operatoria dolar MEP ARS;ON TARJ NARA CL.64 S.3 V30/04/26 $ CG (T643O);ARS;BYMA;1.134.250;108,3;-1.228.392,75;0;0;0;0;-1.228.392,75
80616794;260544;08-01-2026;08-01-2026;Venta bono Operatoria dolar MEP USD;ON TARJ NARA CL.64 S.3 V30/04/26 $ CG (T643O);USD;BYMA;-1.134.250;0,072;816,66;0;0;0;0;816,66
80597002;241528;08-01-2026;09-01-2026;Compra;METROGAS S.A. ESCRIT.  B  1 VOTO (METR);ARS;BYMA;25;2.335;-58.375;-262,6875;-29,1875;-61,2938;0;-58.728,17
80612400;256150;08-01-2026;09-01-2026;Compra;MOLINOS J.SEMINO ESCRIT.1 V. (SEMI);ARS;BYMA;2.208;22,5;-49.680;-223,56;-24,84;-52,164;0;-49.980,56
80594488;239038;08-01-2026;09-01-2026;Compra;ALUAR S.A ORD 1 V ESCRITURALES (ALUA);ARS;BYMA;80;985;-78.800;-354,6;-39,4;-82,74;0;-79.276,74
81041049;127125;09-01-2026;09-01-2026;DIVIDENDOS EN ESPECIE;Dólar estadounidense;ARS;;0,1;0;0;0;-0,5198;-0,1091;0;-0,63
80617692;261442;08-01-2026;09-01-2026;Compra Dolar Mep;CEDEAR ORACLE CORPORATION (ORCL);USD;BYMA;2;63,9;-127,8;-0,5751;-0,0639;-0,1342;0;-128,57
80968015;294882;09-01-2026;12-01-2026;Venta;BOLSAS Y MERCADOS ARG. $ ORD. (BYMA) (BYMA);ARS;BYMA;-354;321;113.634;-511,353;-56,817;-119,3157;0;112.946,51
81699842;400494;12-01-2026;12-01-2026;Venta bono Operatoria dolar MEP USD;ON TARJ NARA CL.64 S.3 V30/04/26 $ CG (T643O);USD;BYMA;-667.152;0,072;480,3494;0;0;0;0;480,35
81831436;299093;12-01-2026;12-01-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-26.627,2344;10.133,835;269.836;0;0;0;0;269.836
81680863;382492;12-01-2026;12-01-2026;Compra bono Operatoria dolar MEP ARS;ON TARJ NARA CL.64 S.3 V30/04/26 $ CG (T643O);ARS;BYMA;667.152;107,9;-719.857,008;0;0;0;0;-719.857,01
80971089;297956;09-01-2026;12-01-2026;Compra;METROGAS S.A. ESCRIT.  B  1 VOTO (METR);ARS;BYMA;128;2.325;-297.600;-1.339,2;-148,8;-312,48;0;-299.400,48
80976804;303671;09-01-2026;12-01-2026;Compra;CEDEAR ADVANCED MICRO DEVICES, INC. (AMD);ARS;BYMA;11;31.480;-346.280;-1.558,26;-173,14;-363,594;0;-348.374,99
80980988;306347;09-01-2026;12-01-2026;Compra Dolar Mep;CEDEAR ADVANCED MICRO DEVICES, INC. (AMD);USD;BYMA;4;21,1;-84,4;-0,3798;-0,0422;-0,0886;0;-84,91
80989153;309568;09-01-2026;12-01-2026;Venta;CEDEAR ORACLE CORPORATION (ORCL);ARS;BYMA;-6;100.000;600.000;-2.700;-300;-630;0;596.370
81001214;316383;09-01-2026;12-01-2026;Venta;CEDEAR STARBUCKS CORP (SBUX);ARS;BYMA;-74;11.290;835.460;-3.759,57;-417,73;-877,233;0;830.405,47
81004161;319220;09-01-2026;12-01-2026;Compra;EDENOR S.A.  B  1 VOTO (EDN);ARS;BYMA;37;2.200;-81.400;-366,3;-40,7;-85,47;0;-81.892,47
