nroTicket;nroComprobante;fechaEjecucion;fechaLiquidacion;tipoOperacion;instrumento;moneda;mercado;cantidad;precio;montoBruto;comision;ddmm;iva;otros;total
103796142;3327884;30-04-2026;04-05-2026;Compra;METROGAS S.A. ESCRIT.  B  1 VOTO (METR);ARS;BYMA;109;1.828;-199.252;-896,634;-99,626;-209,2146;0;-200.457,47
103782273;3314122;30-04-2026;04-05-2026;Compra;EDENOR S.A.  B  1 VOTO (EDN);ARS;BYMA;543;1.830;-993.690;-4.471,605;-496,845;-1.043,3745;0;-999.701,82
104141718;3382091;04-05-2026;04-05-2026;Compra Registracion ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;MAE;1.199.160;108,4;-1.299.889,44;0;0;0;0;-1.299.889,44
104146936;3387280;04-05-2026;04-05-2026;Venta Registracion USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;MAE;-1.199.160;0,075;899,37;0;0;0;0;899,37
104406048;3310760;04-05-2026;04-05-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-118.889,2198;10.934,549;1.300.000;0;0;0;0;1.300.000
104406049;3310761;04-05-2026;04-05-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-137.179,8691;10.934,549;1.500.000;0;0;0;0;1.500.000
103799722;3331461;30-04-2026;04-05-2026;Compra;BANCO BBVA ARG ESC S 1 V. (BBAR);ARS;BYMA;106;7.000;-742.000;-3.339;-371;-779,1;0;-746.489,1
103800255;3331922;30-04-2026;04-05-2026;Compra;SOCIEDAD COMERCIAL DEL PLATA ORD.1V (COME);ARS;BYMA;16.544;45,1;-746.134,4;-3.357,6048;-373,0672;-783,4411;0;-750.648,51
103789703;3321501;30-04-2026;04-05-2026;Compra;GRUPO FINANCIERO GALICIA S.A ESCRIT.  B  1 V (GGAL);ARS;BYMA;119;6.250;-743.750;-3.346,875;-371,875;-780,9375;0;-748.249,69
103776132;3308263;30-04-2026;04-05-2026;Compra;CENTRAL PUERTO S.A. ORD. 1 VOTO ESCRIT (CEPU);ARS;BYMA;358;2.100;-751.800;-3.383,1;-375,9;-789,39;0;-756.348,39
103786603;3318430;30-04-2026;04-05-2026;Compra Dolar Mep;CEDEAR DE MICROSOFT CORP. (MSFT);USD;BYMA;63;13,9;-875,7;-3,9407;-0,4379;-0,9195;0;-881
103793700;3325460;30-04-2026;04-05-2026;Compra;BANCO MACRO S.A. B  1 V. ESCRIT (BMA);ARS;BYMA;69;10.800;-745.200;-3.353,4;-372,6;-782,46;0;-749.708,46
104112106;3354510;04-05-2026;05-05-2026;Compra;METROGAS S.A. ESCRIT.  B  1 VOTO (METR);ARS;BYMA;273;1.820;-496.860;-2.235,87;-248,43;-521,703;0;-499.866
104109030;3351451;04-05-2026;05-05-2026;Compra Dolar Mep;CEDEAR DE AMERICAN EXPRESS COMPANY (AXP);USD;BYMA;20;22,15;-443;-1,9935;-0,2215;-0,4652;0;-445,68
104110052;3352471;04-05-2026;05-05-2026;Compra;GRUPO FINANCIERO GALICIA S.A ESCRIT.  B  1 V (GGAL);ARS;BYMA;80;6.150;-492.000;-2.214;-246;-516,6;0;-494.976,6
104113279;3355679;04-05-2026;05-05-2026;Compra Dolar Mep;CEDEAR DE MICROSOFT CORP. (MSFT);USD;BYMA;26;14,45;-375,7;-1,6907;-0,1879;-0,3945;0;-377,97
104119382;3361534;04-05-2026;05-05-2026;Compra;BANCO MACRO S.A. B  1 V. ESCRIT (BMA);ARS;BYMA;47;10.500;-493.500;-2.220,75;-246,75;-518,175;0;-496.485,68
104120756;3362827;04-05-2026;05-05-2026;Venta Dolar Mep;CEDEAR ORACLE CORPORATION (ORCL);USD;BYMA;-5;63;315;-1,4175;-0,1575;-0,3308;0;313,09
104533523;3417929;05-05-2026;05-05-2026;Venta Registracion USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;MAE;-1.382.973;0,075;1.037,2298;0;0;0;0;1.037,23
104534141;3418547;05-05-2026;05-05-2026;Compra Registracion ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;MAE;1.382.973;108,5;-1.500.525,705;0;0;0;0;-1.500.525,71
104590754;3410575;05-05-2026;05-05-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-228.512,1355;10.940,338;2.500.000;0;0;0;0;2.500.000
