nroTicket;nroComprobante;fechaEjecucion;fechaLiquidacion;tipoOperacion;instrumento;moneda;mercado;cantidad;precio;montoBruto;comision;ddmm;iva;otros;total
86957942;1089954;30-01-2026;02-02-2026;Compra Dolar Mep;CEDEAR ORACLE CORPORATION (ORCL);USD;BYMA;8;57,3;-458,4;-2,0628;-0,2292;-0,4813;0;-461,17
86954543;1086586;30-01-2026;02-02-2026;Compra Dolar Mep;CEDEAR LITHIUM AMERICAS CORP (LAC);USD;BYMA;210;5,15;-1.081,5;-4,8668;-0,5408;-1,1356;0;-1.088,04
88053019;919709;03-02-2026;03-02-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-29.111,7312;10.305,124;300.000;0;0;0;0;300.000
87972578;1190940;03-02-2026;04-02-2026;Compra;MOLINOS J.SEMINO ESCRIT.1 V. (SEMI);ARS;BYMA;7.171;20,8;-149.156,8;-671,2056;-74,5784;-156,6146;0;-150.059,2
88433917;947556;04-02-2026;04-02-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-48.479,7149;10.313,592;500.000;0;0;0;0;500.000
87994594;1211122;03-02-2026;04-02-2026;Compra;MORIXE HNOS. S.A.  ORD. 1 VOTO (MORI);ARS;BYMA;4.119;36,2;-149.107,8;-670,9851;-74,5539;-156,5632;0;-150.009,9
88020868;1235926;03-02-2026;04-02-2026;Compra Dolar Mep;CEDEAR SALESFORCE.COM, INC (CRM);USD;BYMA;29;11,25;-326,25;-1,4681;-0,1631;-0,3426;0;-328,22
88005822;1222154;03-02-2026;04-02-2026;Compra Dolar Mep;CEDEAR ORACLE CORPORATION (ORCL);USD;BYMA;6;53,3;-319,8;-1,4391;-0,1599;-0,3358;0;-321,73
88323633;1288744;04-02-2026;05-02-2026;Compra;TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);ARS;BYMA;144;690;-99.360;-447,12;-49,68;-104,328;0;-99.961,13
88324879;1289959;04-02-2026;05-02-2026;Compra;TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);ARS;BYMA;25;4.150;-103.750;-466,875;-51,875;-108,9375;0;-104.377,69
88298890;1265710;04-02-2026;05-02-2026;Compra;ACC.ORD. LOMA NEGRA S.A. 1 VOTO $ ESC. (LOMA);ARS;BYMA;30;3.215;-96.450;-434,025;-48,225;-101,2725;0;-97.033,52
88921914;1355784;06-02-2026;06-02-2026;Compra bono Operatoria dolar MEP ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;BYMA;964.630;107,3;-1.035.047,99;0;0;0;0;-1.035.047,99
88915403;1349364;06-02-2026;06-02-2026;Compra bono Operatoria dolar MEP USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;BYMA;500.000;0,073;-365;0;0;0;0;-365
88921949;1355819;06-02-2026;06-02-2026;Venta bono Operatoria dolar MEP USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;BYMA;-964.630;0,073;704,1799;0;0;0;0;704,18
88937293;1370129;06-02-2026;06-02-2026;Venta bono Operatoria dolar MEP ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;BYMA;-500.000;107,3;536.500;0;0;0;0;536.500
88986890;1043572;06-02-2026;06-02-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-67.775,0666;10.328,282;700.000;0;0;0;0;700.000
88935233;1368143;06-02-2026;09-02-2026;Compra;MOLINOS J.SEMINO ESCRIT.1 V. (SEMI);ARS;BYMA;19.785;20,1;-397.678,5;-1.789,5533;-198,8393;-417,5624;0;-400.084,45
89711464;1091808;09-02-2026;09-02-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-19.324,4071;10.349,606;200.000;0;0;0;0;200.000
88929546;1362895;06-02-2026;09-02-2026;Compra Dolar Mep;CEDEAR SALESFORCE.COM, INC (CRM);USD;BYMA;11;11;-121;-0,5445;-0,0605;-0,1271;0;-121,73
89583720;1417763;09-02-2026;10-02-2026;Compra;MOLINOS J.SEMINO ESCRIT.1 V. (SEMI);ARS;BYMA;4.733;21;-99.393;-447,2685;-49,6965;-104,3627;0;-99.994,33
89906144;1471348;10-02-2026;10-02-2026;Venta bono Operatoria dolar MEP USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;BYMA;-788.426;0,075;591,3195;0;0;0;0;591,32
89929595;1132865;10-02-2026;10-02-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-82.066,0564;10.357,51;850.000;0;0;0;0;850.000
89882636;1449419;10-02-2026;10-02-2026;Compra bono Operatoria dolar MEP ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;BYMA;788.426;107,8;-849.923,228;0;0;0;0;-849.923,23
89581103;1415178;09-02-2026;10-02-2026;Compra;MORIXE HNOS. S.A.  ORD. 1 VOTO (MORI);ARS;BYMA;2.906;34,2;-99.385,2;-447,2334;-49,6926;-104,3545;0;-99.986,48
90217289;1510816;11-02-2026;11-02-2026;Compra bono Operatoria dolar MEP USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;BYMA;500.000;0,075;-375;0;0;0;0;-375
89865764;1433564;10-02-2026;11-02-2026;Compra;MORIXE HNOS. S.A.  ORD. 1 VOTO (MORI);ARS;BYMA;13.381;33,9;-453.615,9;-2.041,2716;-226,808;-476,2967;0;-456.360,28
89880496;1447639;10-02-2026;11-02-2026;Venta;EDENOR S.A.  B  1 VOTO (EDN);ARS;BYMA;-232;2.200;510.400;-2.296,8;-255,2;-535,92;0;507.312,08
89892836;1459012;10-02-2026;11-02-2026;Compra;TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);ARS;BYMA;151;694;-104.794;-471,573;-52,397;-110,0337;0;-105.428
89893329;1459498;10-02-2026;11-02-2026;Venta;TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);ARS;BYMA;-25;4.262,5;106.562,5;-479,5313;-53,2813;-111,8906;0;105.917,8
89898200;1464122;10-02-2026;11-02-2026;Venta;ACC.ORD. LOMA NEGRA S.A. 1 VOTO $ ESC. (LOMA);ARS;BYMA;-30;3.390;101.700;-457,65;-50,85;-106,785;0;101.084,72
90189380;1483937;11-02-2026;11-02-2026;Compra bono Operatoria dolar MEP ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;BYMA;871.160;107,75;-938.674,9;0;0;0;0;-938.674,9
90189460;1483991;11-02-2026;11-02-2026;Venta bono Operatoria dolar MEP ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;BYMA;-500.000;107,75;538.750;0;0;0;0;538.750
90201994;1496285;11-02-2026;11-02-2026;Venta bono Operatoria dolar MEP USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;BYMA;-871.160;0,075;653,37;0;0;0;0;653,37
90318056;1180260;11-02-2026;11-02-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-38.589,6301;10.365,479;400.000;0;0;0;0;400.000
90188037;1482911;11-02-2026;12-02-2026;Compra Dolar Mep;CEDEAR SALESFORCE.COM, INC (CRM);USD;BYMA;23;10,7;-246,1;-1,1075;-0,1231;-0,2584;0;-247,59
90200434;1494740;11-02-2026;12-02-2026;Compra Dolar Mep;CEDEAR ORACLE CORPORATION (ORCL);USD;BYMA;5;54;-270;-1,215;-0,135;-0,2835;0;-271,63
90216669;1510197;11-02-2026;12-02-2026;Compra;MOLINOS J.SEMINO ESCRIT.1 V. (SEMI);ARS;BYMA;7.585;20;-151.700;-682,65;-75,85;-159,285;0;-152.617,79
90816489;1248983;13-02-2026;13-02-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-28.894,9251;10.382,446;300.000;0;0;0;0;300.000
90773471;1574098;13-02-2026;18-02-2026;Compra Dolar Mep;CEDEAR LITHIUM AMERICAS CORP (LAC);USD;BYMA;86;4,6681;-401,46;-1,8066;-0,2007;-0,4215;0;-403,89
91626532;1602336;18-02-2026;18-02-2026;Venta bono Operatoria dolar MEP ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;BYMA;-500.000;108,5;542.500;0;0;0;0;542.500
