nroTicket;nroComprobante;fechaEjecucion;fechaLiquidacion;tipoOperacion;instrumento;moneda;mercado;cantidad;precio;montoBruto;comision;ddmm;iva;otros;total
111932138;4699076;01-07-2026;02-07-2026;Venta;CEDEAR MASTERCARD INC. (MA);ARS;BYMA;-42;24.770;1.040.340;-4.681,53;-520,17;-1.092,357;0;1.034.045,94
111954688;4721298;01-07-2026;02-07-2026;Venta;CEDEAR PAYPAL HOLDINGS, INC (PYPL);ARS;BYMA;-54;8.650;467.100;-2.101,95;-233,55;-490,455;0;464.274,05
112123686;1146874;02-07-2026;02-07-2026;DIVIDENDOS EN ESPECIE;Dólar estadounidense;ARS;;2,15;0;0;0;-11,3628;-2,3862;0;-13,75
112182610;5423437;02-07-2026;02-07-2026;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;53.144,724;11.289,719;-599.989;0;0;0;0;-599.989
112194999;5435763;02-07-2026;02-07-2026;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;249.229,8524;11.289,719;-2.813.735;0;0;0;0;-2.813.735
111951167;4717836;01-07-2026;02-07-2026;Venta;CEDEAR MERCADOLIBRE INC. (MELI);ARS;BYMA;-102;22.739,2157;2.319.400;-10.437,3;-1.159,7;-2.435,37;0;2.305.367,63
112142167;4743732;02-07-2026;03-07-2026;Venta;CEDEAR PAYPAL HOLDINGS, INC (PYPL);ARS;BYMA;-64;8.900;569.600;-2.563,2;-284,8;-598,08;0;566.153,92
112163452;4764583;02-07-2026;03-07-2026;Venta;CEDEAR MERCADOLIBRE INC. (MELI);ARS;BYMA;-48;23.200;1.113.600;-5.011,2;-556,8;-1.169,28;0;1.106.862,72
112358991;5492429;03-07-2026;03-07-2026;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;519.114,2925;11.295,919;-5.863.873;0;0;0;0;-5.863.873
112287802;1151242;03-07-2026;03-07-2026;DIVIDENDOS EN ESPECIE;Dólar estadounidense;ARS;;3,32;0;0;0;-17,4318;-3,6607;0;-21,09
