nroTicket;nroComprobante;fechaEjecucion;fechaLiquidacion;tipoOperacion;instrumento;moneda;mercado;cantidad;precio;montoBruto;comision;ddmm;iva;otros;total
99695760;2717615;01-04-2026;01-04-2026;Venta Registracion USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;MAE;-339.180;0,072;244,2096;0;0;0;0;244,21
99690313;2712213;01-04-2026;01-04-2026;Compra Registracion ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;MAE;339.180;103,2;-350.033,76;0;0;0;0;-350.033,76
99734651;2354033;01-04-2026;01-04-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-32.623,1765;10.728,569;350.000;0;0;0;0;350.000
100170762;2725784;06-04-2026;06-04-2026;Compra Registracion ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;MAE;483.527;103,4;-499.966,918;0;0;0;0;-499.966,92
100270771;2400936;06-04-2026;06-04-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-46.458,4535;10.762,304;500.000;0;0;0;0;500.000
100191515;2745942;06-04-2026;06-04-2026;Venta Registracion USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;MAE;-483.527;0,072;348,1394;0;0;0;0;348,14
100423295;2794917;07-04-2026;07-04-2026;Venta Registracion USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;MAE;-836.805;0,072;602,4996;0;0;0;0;602,5
100181612;2736479;06-04-2026;07-04-2026;Venta Dolar Mep;CEDEAR META PLATFORMS INC. (META);USD;BYMA;-16;25;400;-1,8;-0,2;-0,42;0;397,58
100204305;2758218;06-04-2026;07-04-2026;Venta;TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);ARS;BYMA;-2.520;693;1.746.360;-7.858,62;-873,18;-1.833,678;0;1.735.794,52
100408381;2780408;07-04-2026;07-04-2026;Compra Registracion ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;MAE;836.805;103,7;-867.766,785;0;0;0;0;-867.766,79
100408075;2780102;07-04-2026;08-04-2026;Compra;MOLINOS J.SEMINO ESCRIT.1 V. (SEMI);ARS;BYMA;22.704;19;-431.376;-1.941,192;-215,688;-452,9448;0;-433.985,82
100592970;2807446;08-04-2026;09-04-2026;Compra Dolar Mep;CEDEAR SALESFORCE.COM, INC (CRM);USD;BYMA;41;10,45;-428,45;-1,928;-0,2142;-0,4499;0;-431,04
100594743;2809198;08-04-2026;09-04-2026;Compra Dolar Mep;CEDEAR TESLA, INC. (TSLA);USD;BYMA;18;23,95;-431,1;-1,94;-0,2156;-0,4527;0;-433,71
100597903;2812320;08-04-2026;09-04-2026;Compra;METROGAS S.A. ESCRIT.  B  1 VOTO (METR);ARS;BYMA;199;2.165;-430.835;-1.938,7575;-215,4175;-452,3768;0;-433.441,55
100599649;2814040;08-04-2026;09-04-2026;Compra Dolar Mep;CEDEAR ORACLE CORPORATION (ORCL);USD;BYMA;7;49,7;-347,9;-1,5656;-0,174;-0,3653;0;-350
100811393;2861250;09-04-2026;09-04-2026;Venta Registracion USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;MAE;-552.929;0,072;398,1089;0;0;0;0;398,11
100811605;2861462;09-04-2026;09-04-2026;Compra Registracion ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;MAE;552.929;103,2053;-570.651,881;0;0;0;0;-570.651,88
100843771;2553327;09-04-2026;09-04-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-27.822,0277;10.782,823;300.000;0;0;0;0;300.000
100855509;2564932;09-04-2026;09-04-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-25.039,8249;10.782,823;270.000;0;0;0;0;270.000
100803880;2856561;09-04-2026;10-04-2026;Compra Dolar Mep;CEDEAR LITHIUM AMERICAS CORP (LAC);USD;BYMA;43;4,3;-184,9;-0,8321;-0,0925;-0,1941;0;-186,02
102470099;3092092;20-04-2026;20-04-2026;Venta Registracion USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;MAE;-1.633.878;0,074;1.209,0697;0;0;0;0;1.209,07
102226707;3034796;17-04-2026;20-04-2026;Venta;CEDEAR TESLA, INC. (TSLA);ARS;BYMA;-27;39.040;1.054.080;-4.743,36;-527,04;-1.106,784;0;1.047.702,82
102238031;3046011;17-04-2026;20-04-2026;Venta;CEDEAR LITHIUM AMERICAS CORP (LAC);ARS;BYMA;-51;7.160;365.160;-1.643,22;-182,58;-383,418;0;362.950,78
102238463;3046435;17-04-2026;20-04-2026;Venta;CEDEAR DE MICROSOFT CORP. (MSFT);ARS;BYMA;-15;20.690;310.350;-1.396,575;-155,175;-325,8675;0;308.472,38
102473362;3095342;20-04-2026;20-04-2026;Compra Registracion ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;MAE;1.633.878;105,2;-1.718.839,656;0;0;0;0;-1.718.839,66
102455534;3078249;20-04-2026;21-04-2026;Compra Dolar Mep;CEDEAR NIKE INC. (NKE);USD;BYMA;20;3,975;-79,5;-0,3578;-0,0398;-0,0835;0;-79,98
102660260;3115239;21-04-2026;22-04-2026;Venta;CEDEAR ORACLE CORPORATION (ORCL);ARS;BYMA;-30;88.941,6667;2.668.250;-12.007,125;-1.334,125;-2.801,6625;0;2.652.107,09
102661155;3116134;21-04-2026;22-04-2026;Venta;CEDEAR MERCADOLIBRE INC. (MELI);ARS;BYMA;-20;22.900;458.000;-2.061;-229;-480,9;0;455.229,1
