nroTicket;nroComprobante;fechaEjecucion;fechaLiquidacion;tipoOperacion;instrumento;moneda;mercado;cantidad;precio;montoBruto;comision;ddmm;iva;otros;total
94590857;2044449;03-03-2026;03-03-2026;Venta bono Operatoria dolar MEP ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;BYMA;-500.000;101,7;508.500;0;0;0;0;508.500
94329708;1989726;02-03-2026;03-03-2026;Venta Dolar Mep;CEDEAR LITHIUM AMERICAS CORP (LAC);USD;BYMA;-296;5,22;1.545,12;-6,953;-0,7726;-1,6224;0;1.535,77
94568829;2023136;03-03-2026;03-03-2026;Compra bono Operatoria dolar MEP ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;BYMA;893.257;101,7;-908.442,369;0;0;0;0;-908.442,37
94575095;2029305;03-03-2026;03-03-2026;Venta bono Operatoria dolar MEP USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;BYMA;-893.257;0,07;625,2799;0;0;0;0;625,28
94581539;2035287;03-03-2026;03-03-2026;Compra bono Operatoria dolar MEP USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;BYMA;500.000;0,07;-350;0;0;0;0;-350
94638710;1653042;03-03-2026;03-03-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-76.030,9488;10.522,031;800.000;0;0;0;0;800.000
94610026;2062482;03-03-2026;04-03-2026;Compra;MOLINOS J.SEMINO ESCRIT.1 V. (SEMI);ARS;BYMA;11.580;17,25;-199.755;-898,8975;-99,8775;-209,7428;0;-200.963,52
94599549;2052522;03-03-2026;04-03-2026;Compra Dolar Mep;CEDEAR LITHIUM AMERICAS CORP (LAC);USD;BYMA;8;4,71;-37,68;-0,1696;-0,0188;-0,0396;0;-37,91
94570271;2024573;03-03-2026;04-03-2026;Compra Dolar Mep;CEDEAR DE AMERICAN EXPRESS COMPANY (AXP);USD;BYMA;37;20,75;-767,75;-3,4549;-0,3839;-0,8061;0;-772,39
94573836;2028068;03-03-2026;04-03-2026;Compra;TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);ARS;BYMA;175;567;-99.225;-446,5125;-49,6125;-104,1863;0;-99.825,31
